PassengerId,Survived
1,1
2,0
3,0
4,1
5,1
6,1
7,1
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,1
52,1
53,0
54,1
55,0
56,1
57,0
58,1
59,1
60,1
61,0
62,1
63,1
64,0
65,0
66,1
67,0
68,0
69,0
70,1
71,1
72,1
73,0
74,1
75,0
76,0
77,1
78,1
79,1
80,1
81,0
82,1
83,1
84,0
85,0
86,0
87,1
88,1
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,1
112,0
113,1
114,0
115,1
116,0
117,0
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,0
127,0
128,1
129,1
130,0
131,1
132,1
133,0
134,1
135,0
136,1
137,1
138,0
139,0
140,1
141,0
142,1
143,0
144,0
145,0
146,1
147,0
148,0
149,1
150,0
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,1
160,1
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,1
169,0
170,0
171,1
172,1
173,0
174,1
175,0
176,0
177,0
178,1
179,1
